steady_us,result
1000000,0
1016666,0
1033332,0
1049998,0
1066664,0
1083330,0
1099996,0
1116662,0
1133328,0
1149994,0
1166660,0
1183326,0
1199992,0
1216658,0
1233324,0
1249990,0
1266656,0
1283322,0
1299988,0
1316654,0
1333320,0
1349986,0
1366652,0
1383318,0
1399984,0
1416650,0
1433316,0
1449982,0
1466648,0
1483314,0
1499980,0
1516646,0
1533312,0
1549978,0
1566644,0
1583310,0
1599976,0
1616642,0
1633308,0
1649974,0
1666640,0
1683306,0
1699972,0
1716638,0
1733304,0
1749970,0
1766636,0
1783302,0
1799968,0
1816634,0
1833300,0
1849966,0
1866632,0
1883298,0
1899964,0
1916630,0
1933296,0
1949962,0
1966628,0
1983294,0
1999960,0
2016626,0
2033292,0
2049958,0
2066624,0
2083290,0
2099956,0
2116622,0
2133288,0
2149954,0
2166620,0
2183286,0
2199952,0
2216618,0
2233284,0
2249950,0
2266616,0
2283282,0
2299948,0
2316614,0
2333280,0
2349946,0
2366612,0
2383278,0
2399944,0
2416610,0
2433276,0
2449942,0
2466608,0
2483274,0
2499940,0
2516606,0
2533272,0
2549938,0
2566604,0
2583270,0
2599936,0
2616602,0
2633268,0
2649934,0
2666600,0
2683266,0
2699932,0
2716598,0
2733264,0
2749930,0
2766596,0
2783262,0
2799928,0
2816594,0
2833260,0
2849926,0
2866592,0
2883258,0
2899924,0
2916590,0
2933256,0
2949922,0
2966588,0
2983254,0
2999920,0
3016586,0
3033252,0
3049918,0
3066584,0
3083250,0
3099916,0
3116582,0
3133248,0
3149914,0
3166580,0
3183246,0
3199912,0
3216578,0
3233244,0
3249910,0
3266576,0
3283242,0
3299908,0
3316574,0
3333240,0
3349906,0
3366572,0
3383238,0
3399904,0
3416570,0
3433236,0
3449902,0
3466568,0
3483234,0
3499900,0
3516566,0
3533232,0
3549898,0
3566564,0
3583230,0
3599896,0
3616562,0
3633228,0
3649894,0
3666560,0
3683226,0
3699892,0
3716558,0
3733224,0
3749890,0
3766556,0
3783222,0
3799888,0
3816554,0
3833220,0
3849886,0
3866552,0
3883218,0
3899884,0
3916550,0
3933216,0
3949882,0
3966548,0
3983214,0
